Noun,freq
시내버스,14
방위,14
설렁탕,14
여섯,14
화로,14
미분,14
굽,14
대부,14
인스턴트,14
장부,14
교육비,14
초밥,14
해지,14
발행,14
체인점,14
척,14
테스코,14
입자,14
정상화,14
개소,14
명세서,14
입증,14
저축은행,14
국회의원,14
모금,14
백숙,14
양계,14
뇌,14
맥,14
독도,14
영토,14
해양,14
일본인,14
올여름,14
항아리,14
해수욕장,14
도청,14
권미진,14
기쁨,14
당뇨병,14
황실,14
임원,14
흡연,14
외교,14
출전,14
단백,14
판명,14
잔치,14
뱅크,14
인지도,14
대접,14
가뜩이나,14
임상시험,14
기호,14
패널,14
곡,14
홈,14
리카,14
매니저,14
베타카로틴,14
교과서,14
남해,14
모스크바,14
복숭아,14
부천시,14
두통,14
한잔,14
쫀득,14
육아,14
장인,14
쫙,14
하여튼,14
인턴,14
학,14
그간,14
송대남,14
노지,14
돌뼈,14
살균,14
세액,14
골프,14
선사,14
재능,14
랩,14
상용,14
포도주,14
유대교,14
박람회,14
타월,14
서구화,14
크림소스,14
대학원,14
백색,14
사포닌,14
전가,14
덜미,14
채식주의자,14
알약톡톡,14
외출,14
술자리,14
제천,14
진천,14
혼다,14
복날,14
연극,14
정황,14
앞뒤,14
혈,14
압수수색,14
미얀마,14
혼란,14
동유럽,14
뭄바이,14
섭입,14
총기,14
소독제,14
엄진,14
현수막,14
원시인,14
라오스,14
호떡,14
타마,14
꽈리,14
이종영,14
풍토병,14
검출기,14
이중고,14
위염,14
가금,13
김태욱,13
거짓말,13
화학물질,13
개시,13
단점,13
낙농,13
기피,13
겉보기,13
소갈비,13
대북,13
스키,13
경기장,13
낫토,13
상시,13
방제,13
사슴,13
징후,13
이세,13
실어,13
턱,13
서해,13
안도,13
수만,13
만족,13
둘째,13
오스트리아,13
중대,13
효율,13
예능,13
댄스,13
주년,13
첫날,13
활약,13
맙니,13
비육,13
처방,13
연기자,13
명예,13
만전,13
합치,13
후속,13
정해,13
합,13
재해,13
개편,13
중학교,13
설비,13
안고,13
배식,13
모레,13
자발,13
폭탄,13
이견,13
인지,13
일도,13
치매,13
등유,13
온갖,13
일차,13
박예원,13
디지털,13
무리,13
탄력,13
백미,13
랴오닝성,13
공안,13
지배,13
식성,13
마디,13
하수도,13
압도,13
심화,13
기재,13
기재부,13
양허,13
인민일보,13
고명,13
보험사,13
셋,13
마음껏,13
원전,13
솜씨,13
양쪽,13
백합,13
임재성,13
화물,13
쓴맛,13
조선시대,13
실감,13
토요일,13
전의,13
샘플,13
계좌,13
개량,13
산소,13
피클,13
함유량,13
계시,13
디자인,13
배양,13
포스트,13
고인,13
코리아,13
금겹,13
통일,13
배제,13
지리,13
제소,13
외면,13
동물원,13
과학자,13
공인,13
호도,13
침해,13
뒷받침,13
애완동물,13
단독,13
빈도,13
풀기,13
지폐,13
수년,13
복부비만,13
강낭콩,13
각자,13
접목,13
불편,13
화천군,13
폭력,13
스웨덴,13
전자레인지,13
장안대,13
이점,13
사신,13
모처럼,13
탁구,13
거래량,13
로크,13
낙엽,13
포장마차,13
창문,13
자세,13
승객,13
페이스북,13
김지민,13
빵집,13
동맥,13
포획,13
검은색,13
사무관,13
유전체,13
근대,13
칼국수,13
유대인,13
여의도,13
부세,13
시신,13
하수,13
브로콜리,13
사단,13
