Noun,Freq
유량,66
사건,66
레시피,65
널리,65
뉴스,65
경과,65
연도,65
고정,65
대구,65
야생동물,65
합동,65
편의,65
천안,65
한정,65
유무,65
보양식,65
종돈장,65
자녀,65
한시,65
임기,65
김해,65
폐지,65
신주,65
가계,64
이어진,64
누,64
감수성,64
위상,64
전날,64
사이트,64
인도,64
부지,64
노산,64
관리원,64
비화,64
합성,64
손상,64
기한,64
식탁,64
지하수,64
직결,64
프랜차이즈,64
싸움,64
조언,64
방출,64
무기,64
통일,64
명분,64
식사,63
피그,63
모바일,63
생석회,63
체감온도,63
어미,63
계류,63
안보,63
소고기,63
강건,63
확립,63
완성,63
하임,63
김영란,63
말기,63
조례,63
당선,63
모계,63
발급,63
선수,63
영규,63
일일,62
재화,62
태,62
공헌,62
증명,62
지식,62
옷,62
팔,62
대조,62
가금,62
수도권,62
오픈,62
가늠,62
한층,62
전자,62
아이디어,62
질문,62
브,62
주부,62
양적,62
아들,62
자본,62
인건비,62
파,62
듀록,62
이정,62
포럼,62
정상화,61
입맛,61
공,61
선별,61
개점,61
자발,61
샤워,61
밀폐,61
정말,61
반경,61
양념,61
정작,61
단점,61
통상,61
신용,61
심의,61
동의,61
보존,61
김근필,61
정영철,61
친구,61
연합,61
취업,61
플렉스,61
사업자,60
소로,60
견인,60
서류,60
오,60
신발,60
보쌈,60
보지,60
이천,60
경,60
발육,60
평,60
돈열,60
논리,60
우크라이나,60
찾기,60
판매업,60
유성,60
납품,60
탄력,60
주입,60
규명,60
스튜,60
불가피,60
수송,60
기억,59
속출,59
수직,59
대학교,59
영상,59
롯데,59
편의점,59
업종,59
적응,59
훈련,59
비판,59
경매,59
최첨단,59
요크셔,59
실증,59
소문,59
용어,59
노동자,59
전역,59
토론,59
랜드레이스,59
쿼터,59
화천,58
말로,58
직면,58
수렵,58
최우수상,58
냉,58
정밀검사,58
제어,58
습관,58
어린이,58
거기,58
저녁,58
치명,58
젖돈,58
빛,58
파운드,58
환경오염,58
소속,58
복구,58
당일,58
생계,58
빈번,58
공세,58
렐라,58
료,58
웰빙,58
김치,57
감독,57
황금,57
시즌,57
비처,57
주의보,57
끼,57
쉬,57
장려,57
대기,57
명시,57
간과,57
내의,57
로써,57
신체,57
간의,57
위험성,57
전문점,57
정전,57
호당,57
기해,57
원활,57
혈청형,57
슬로건,57
모금,56
자부심,56
금돈,56
봉사,56
대상자,56
패널,56
추적,56
저항,56
현대,56
이나,56
종돈업,56
김제,56
